[2025-04-18 01:09:08] [INFO] Starting Improved Spotted Hyena Optimizer
[2025-04-18 01:09:08] [INFO] Iteration 10, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 11, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 12, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 13, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 14, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 15, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 16, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 17, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 18, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 19, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 20, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 21, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 22, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 23, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 24, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 25, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 26, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 27, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 28, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 29, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 30, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 31, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 32, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 33, Best fitness: 56183.0
[2025-04-18 01:09:08] [INFO] Iteration 34, Best fitness: 56183.0
